name,address,평점
고양이다락방,서울 서대문구 창천동 33-36,
포티드,서울 서대문구 창천동 5-58,4.1점
에이투지카페,서울 서대문구 창천동 13-14,3.8점
머스타드,서울 마포구 염리동 9-54,4.9점
두드림,서울 마포구 노고산동 31-158,4.0점
호밀밭,서울 서대문구 창천동 4-77,4.3점
휴,서울 서대문구 창천동 18-5,2.9점
비파티세리 공덕점,서울 마포구 공덕동 105-67,4.2점
밀랑스,서울 마포구 대흥동 2-30,4.6점
비로소커피,서울 마포구 신수동 85-19,3.9점
카페페라 유니크점,서울 서대문구 대현동 33-8,3.2점
룸익스케이프 화이트점,서울 서대문구 창천동 5-21,4.6점
북카페파오,서울 서대문구 대현동 54-4,4.5점
메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7점
내사랑,서울 서대문구 대현동 67-80,3.9점
옥루몽 신촌본점,서울 서대문구 대신동 50-3,4.1점
스타벅스 이대R점,서울 서대문구 대현동 54-4,3.7점
미네르바,서울 서대문구 창천동 13-26,4.5점
투썸플레이스 마포대흥점,서울 마포구 대흥동 16-66,4.5점
그릭데이 이대본점,서울 서대문구 대현동 27-33,4.0점
커피크레페 본점,서울 서대문구 창천동 30-10,4.3점
더파이홀,서울 서대문구 창천동 57-61,4.1점
독수리다방,서울 서대문구 창천동 31-4,4.2점
문베어,서울 서대문구 창천동 5-21,4.6점
댓커피,서울 마포구 노고산동 19-52,3.8점
설빙 신촌점,서울 서대문구 창천동 33-43,3.9점
그래인바운더리,서울 서대문구 창천동 5-41,2.5점
미스터힐링 신촌점,서울 서대문구 창천동 20-51,3.8점
클로리스 신촌점,서울 서대문구 창천동 13-35,4.2점
스타벅스 이대역점,서울 서대문구 대현동 45-8,4.0점
에버라인 뮤직&카페,서울 서대문구 대현동 110-2,3.3점
카페코지,서울 서대문구 대현동 34-44,4.3점
메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.8점
원앤온리커피,서울 서대문구 대현동 37-7,4.5점
와플잇업 이대2호점,서울 서대문구 대현동 27-17,4.5점
티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7점
투썸플레이스 이대역점,서울 서대문구 대현동 40-4,
스타벅스 신촌아트레온점,서울 서대문구 창천동 20-25,3.2점
스타벅스 신촌점,서울 서대문구 창천동 18-55,4.1점
스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,4.4점
꽃피다이화다방,서울 서대문구 대현동 37-1,4.4점
카페더퍼즐,서울 마포구 대흥동 2-71,5.0점
카페문,서울 서대문구 대현동 53-29,3.7점
파가니니,서울 서대문구 대현동 56-51,4.8점
벨라프라하,서울 서대문구 대현동 37-35,4.7점
