name,address,평점,카테고리,평균 단가
담택,서울 마포구 서교동 381-22,4.5점,음식점 > 일식 > 일본식라면,10700
대포막창,서울 마포구 서교동 396-58,4.6점,"음식점 > 한식 > 육류,고기 > 곱창,막창",14400
이치류 홍대본점,서울 마포구 서교동 395-124,4.2점,"음식점 > 한식 > 육류,고기",24500
평이담백뼈칼국수,서울 마포구 서교동 481-5,4.2점,음식점 > 한식 > 국수 > 칼국수,9500
망원동 즉석우동 전문돈까스 본점,서울 마포구 망원동 386-4,3.8점,"음식점 > 일식 > 돈까스,우동",8000
칸다소바 홍대점,서울 마포구 상수동 91-3,4.3점,음식점 > 일식 > 일본식라면,9300
카와카츠 본점,서울 마포구 서교동 465-1,4.2점,"음식점 > 일식 > 돈까스,우동",14800
우동카덴 합정점,서울 마포구 서교동 391-5,3.1점,"음식점 > 일식 > 돈까스,우동",9600
각시보쌈,서울 마포구 합정동 372-27,3.7점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",21600
델리인디아,서울 마포구 서교동 402-6,4.5점,음식점 > 아시아음식 > 인도음식,15380
빠넬로,서울 마포구 서교동 400-22,3.8점,음식점 > 양식,32000
스케줄 합정,서울 마포구 서교동 394-17,3.5점,음식점 > 양식,35200
또보겠지떡볶이집 호호피크닉점,서울 마포구 서교동 396-45,3.8점,음식점 > 분식 > 떡볶이,11500
합정광안리,서울 마포구 서교동 396-44,,음식점 > 한식,44000
개화기요정,서울 마포구 서교동 401-5,2.3점,음식점 > 술집 > 일본식주점,24400
교다이야,서울 마포구 합정동 370-8,3.7점,"음식점 > 일식 > 돈까스,우동",10400
진진,서울 마포구 서교동 375-35,3.5점,음식점 > 중식,31750
헤키,서울 마포구 망원동 379-25,4.6점,음식점 > 일식,10400
합정옥,서울 마포구 합정동 392-3,3.7점,음식점 > 한식 > 곰탕,23750
산더미불고기,서울 마포구 서교동 403-16,,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",12600
홍대 조선시대,서울 마포구 서교동 369-4,4.7점,음식점 > 한식,25200
스파카나폴리,서울 마포구 합정동 413-2,4.1점,음식점 > 양식 > 이탈리안,27500
시오,서울 마포구 합정동 372-17,,음식점 > 일식,16400
최강금돈까스,서울 마포구 합정동 388-15,4.2점,"음식점 > 일식 > 돈까스,우동",14000
카미야,서울 마포구 서교동 358-39,4.2점,"음식점 > 일식 > 돈까스,우동",10000
강강술래 홍대점,서울 마포구 서교동 369-10,3.8점,음식점 > 한식,34560
양화정숯불갈비,서울 마포구 합정동 383-26,,"음식점 > 한식 > 육류,고기 > 갈비",24600
몰토베네,서울 마포구 합정동 361-20,4.5점,음식점 > 양식 > 이탈리안,29400
우와 홍대본점,서울 마포구 서교동 364-10,3.4점,음식점 > 일식,15700
공감 합정점,서울 마포구 서교동 396-33,3.1점,음식점 > 술집 > 일본식주점,50200
합정고깃집,서울 마포구 합정동 392-3,4.4점,"음식점 > 한식 > 육류,고기",20600
멕시코식당,서울 마포구 합정동 366-7,,"음식점 > 양식 > 멕시칸,브라질",46650
비스트로사랑방,서울 마포구 서교동 408-25,4.0점,음식점 > 양식 > 이탈리안,34600
히츠지야 한국본점,서울 마포구 서교동 395-36,,음식점 > 일식,47750
오레노라멘 합정본점,서울 마포구 합정동 361-1,4.4점,음식점 > 일식 > 일본식라면,12000
짬뽕지존 홍대점,서울 마포구 서교동 408-27,3.3점,음식점 > 중식 > 중국요리,7000
당인동국수공장,서울 마포구 당인동 25-9,3.7점,음식점 > 한식 > 국수,20000
정돈,서울 마포구 서교동 408-26,3.9점,"음식점 > 일식 > 돈까스,우동",17800
맛이차이나,서울 마포구 상수동 321-1,3.6점,음식점 > 중식 > 중국요리,정보 없음
신김치생삼겹살,서울 마포구 합정동 414-1,3.7점,"음식점 > 한식 > 육류,고기 > 삼겹살",12400
옥동식 서교점,서울 마포구 서교동 385-6,3.9점,음식점 > 한식 > 곰탕,10600
돼지대학교 합정점,서울 마포구 합정동 413-26,,"음식점 > 한식 > 육류,고기 > 삼겹살",9766
마포오리농장,서울 마포구 서교동 394-46,3.3점,"음식점 > 한식 > 육류,고기 > 오리",24000
크레이지카츠,서울 마포구 합정동 391-5,4.1점,"음식점 > 일식 > 돈까스,우동",24800
피자네버슬립스 합정상수점,서울 마포구 서교동 400-13,4.1점,음식점 > 양식 > 피자,29200
하하&김종국의 401정육식당 홍대본점,서울 마포구 서교동 395-17,2.3점,"음식점 > 한식 > 육류,고기",21200
테이스티버거,서울 마포구 상수동 317-2,3.6점,음식점 > 양식 > 햄버거,9900
바다회사랑 2호점,서울 마포구 서교동 461-25,3.2점,"음식점 > 한식 > 해물,생선 > 회",50600
