가게명,가게주소,평균 단가
홍대인파스타,서울 마포구 서교동 355-5,9620
미쁘동,서울 마포구 연남동 384-7,18400
카와카츠 본점,서울 마포구 서교동 465-1,14800
연남토마 본점,서울 마포구 연남동 568-26,14000
또보겠지떡볶이집 붕붕허니비점,서울 마포구 동교동 153-3,10250
멘야산다이메 홍대점,서울 마포구 서교동 355-25,9100
백년토종삼계탕 본점,서울 마포구 서교동 354-12,19600
별천지설농탕,서울 마포구 동교동 161-8,17600
연교,서울 마포구 연남동 383-95,18200
진진,서울 마포구 서교동 375-35,31750
감성타코 홍대점,서울 마포구 서교동 358-121,29200
훠궈나라 홍대점,서울 마포구 동교동 164-33,17800
황곱 홍대점,서울 마포구 동교동 170-23,29800
보승회관 홍대직영점,서울 마포구 동교동 164-6,10500
감나무집기사식당,서울 마포구 연남동 515-20,11800
조선화로구이,서울 마포구 서교동 351-18,34000
21세기 우리바다수산,서울 마포구 동교동 206-5,43000
또보겠지떡볶이집 깐따삐아점,서울 마포구 서교동 358-42,5300
홍대 조선시대,서울 마포구 서교동 369-4,25200
장작집 연남본점,서울 마포구 연남동 570-38,24400
바다회사랑,서울 마포구 연남동 566-8,61000
락희돈,서울 마포구 동교동 155-35,17700
츠케루,서울 마포구 서교동 344-9,10600
아오이토리,서울 마포구 서교동 327-17,3000
장인닭갈비 홍대점,서울 마포구 동교동 163-6,12000
카미야,서울 마포구 서교동 358-39,10000
강강술래 홍대점,서울 마포구 서교동 369-10,34560
마포곱창타운,서울 마포구 동교동 197-5,18200
더담,서울 마포구 서교동 328-26,51333
일편등심,서울 마포구 동교동 164-23,123840
우와 홍대본점,서울 마포구 서교동 364-10,15700
가미우동,서울 마포구 서교동 346-31,6900
홍마떡 홍대본점,서울 마포구 서교동 345-16,7820
제임스시카고피자 홍대본점,정보 없음,정보 없음
홍대조폭떡볶이 홍대2호점,서울 마포구 동교동 164-17,4200
만동제과,강원특별자치도 강릉시 옥천동 62-3,4000
중화복춘,서울 마포구 동교동 152-11,60200
마녀주방 홍대점,서울 마포구 서교동 358-51,12100
스아게K,서울 마포구 서교동 334-23,11600
어메이징농카이,서울 마포구 서교동 351-13,13000
중화복춘 골드동교점,서울 마포구 동교동 204-54,72800
비스트로주라,서울 마포구 서교동 342-16,13100
이츠모라멘,서울 마포구 서교동 342-16,9800
프리모바치오바치 홍대본점,서울 마포구 서교동 346-47,15600
바다회사랑 2호점,서울 마포구 서교동 461-25,50600
하이디라오 홍대지점,서울 마포구 동교동 166-14,7600
